Result,Ambition
01-02,become an Echo's supplicant: foo
03-04,become captain of a gang: foo
05-06,become an ironbinder: foo
07-08,become the center of a hero cult: foo
09-10,animate an ancient automaton: foo
11-12,clear family name: foo
13-14,defeat a Harcosok in single combat
15-16,earn a favor from Mama Gondolieri
17-18,earn a Gondolieri nickname
19-20,rob the civic printing house
21-22,find a cure for splintering
23-24,find the Pentolan Egg
25-26,found a guild
27-28,found a gymnasium
29-30,gain a patron
31-32,get own art into a gala
33-34,get elected
35-36,graffiti a major power
37-38,invent a dweomer
39-40,create new alchemical fruit
41-42,join the Bloodless
43-44,lead a carnivalesco parade
45-46,oversee a temple
47-48,make a deal with an Echo
49-50,meet a Servitor
51-52,craft an ever-burning lamp
53-54,map a catacomb complex completely
55-56,master a dweomer
57-58,modify body with magic
59-60,obtain Mirror of Nevaeh
61-62,obtain an Accurate Clock
63-64,own a ship
65-66,own an inn
67-68,recover Porkslope's Boots
69-70,replace a body part
71-72,retrieve an Artifact
73-74,ride a griffin
75-76,rule a neighborhood
77-78,rule a spire
79-80,see the Glass Shark
81-82,slay a demon
83-84,husband a new line of Drakes
85-86,summon a demon
87-88,survive the Gauntlet
89-90,swim the Churn
91-92,topple a Spire
93-94,win Pokey's Box
95-96,win a Drake Race
97-98,sing away a Wakemaker
99-100,operate a trebuchet